Ad_Id,House_Type,Bedrooms,Bathrooms,Hydro,Heat,Water,Parking,Pet_Friendly,Air_Conditioning,Smoking,Laundry,Dishwasher,Fridge,Furnished,Gym,Pool,24_Hour_Security,Bicycle_Parking,Storage_Space,Elevator_in_Building,Personal_Outdoor_Space,Agreement,Region,Size,Rent
Ad ID 1545837947,Apartment,2,1,No,No,No,1,No,Yes,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor East East Walkerville,980,1580
Ad ID 1545907709,Townhouse,2,3,No,No,No,2,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,1300,2000
Ad ID 1545964830,Condo,2,1,No,No,No,1,No,Yes,No,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,850,1150
Ad ID 1545993971,Duplex/Triplex,2 + Den,1.5,No,No,Yes,0,No,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,950,1350
Ad ID 1546002599,Apartment,1,1,Yes,No,Yes,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,671,1210
Ad ID 1546002601,Apartment,2,1,No,No,Yes,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,1353,1600
Ad ID 1546002602,Apartment,3,1,No,No,Yes,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,1640,1599
Ad ID 1546002603,Apartment,2,1,Yes,No,Yes,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,908,1324
Ad ID 1546003350,Apartment,1,1,No,No,No,0,No,No,No,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,671,1210
Ad ID 1546045760,House,3 + Den,1.5,No,No,No,2,Limited,Yes,No,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,1850,1950
Ad ID 1546077047,Duplex/Triplex,2,1,No,No,No,0,Limited,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor City Centre NW Walkerville,800,1245
Ad ID 1546109039,House,2 + Den,1,No,No,No,3,No,Yes,Yes,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor City Centre NW Walkerville,950,1500
Ad ID 1546154831,Apartment,2,1,Yes,No,Yes,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,909,1417
Ad ID 1546201819,House,4,1.5,No,No,No,3,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,1500,2100
Ad ID 1546402912,Apartment,2,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,936,1555
Ad ID 1546413917,House,3 + Den,2,No,No,No,3,No,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,2300,2250
Ad ID 1546453126,House,3,1,No,No,No,3,No,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South East Malden,1500,1900
Ad ID 1546468157,House,3,1.5,No,No,No,2,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East East Walkerville,1400,1850
Ad ID 1546503086,House,3,1,No,No,No,3,Yes,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,1200,1600
Ad ID 1546512222,Apartment,1,1,No,No,No,0,Limited,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,500,1000
Ad ID 1546536645,Apartment,1,1,No,No,No,1,Limited,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,700,
Ad ID 1546546015,House,3,2,No,No,No,2,No,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2500,2525
Ad ID 1546553788,Apartment,2,1,No,Yes,Yes,1,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,1100,1550
Ad ID 1546554271,Apartment,3,1,No,Yes,Yes,1,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,1300,1750
Ad ID 1546589056,House,4,1.5,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor University South Cameron,12345,
Ad ID 1546609593,Apartment,1,1,No,No,Yes,0,No,No,No,Not Included,Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,600,950
Ad ID 1546615026,Apartment,3,1,No,No,Yes,1,Yes,Yes,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,1000,1600
Ad ID 1546672149,Basement,1,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,500,825
Ad ID 1546689697,House,2,1,No,No,No,2,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,1700,3000
Ad ID 1546692008,Apartment,Bachelor/Studio,1,Yes,Yes,Yes,0,Yes,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South Central West Walkerville Remington P,25,600
Ad ID 1546702962,House,3,1.5,No,No,No,3,Yes,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,2200,1845
Ad ID 1546703381,House,3,1.5,No,No,No,3,Yes,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,2200,1845
Ad ID 1546707443,Basement,2,1,Yes,Yes,Yes,1,No,No,No,Laundry (In Building),Not Included,Not Included,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,900,1390
Ad ID 1546720218,Apartment,2,1,No,No,No,1,Limited,Yes,No,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,800,1500
Ad ID 1546785032,Condo,1,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,No,Yes,Yes,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,600,1600
Ad ID 1546796372,Basement,2 + Den,1,No,No,No,3,No,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,1250,1200
Ad ID 1546803955,Condo,1,1.5,No,No,Yes,1,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Yes,Not Included,Not Included,Yes,Balcony,1 Year,Windsor East Forest Glade,825,1600
Ad ID 1546811707,House,3 + Den,1,No,No,No,1,No,Yes,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1,
Ad ID 1546857165,Basement,1,1,No,No,No,1,No,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor Roseland,500,900
Ad ID 1546858407,Townhouse,2,2,No,No,No,1,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,1200,2100
Ad ID 1546860697,Condo,2,2,No,No,No,2,No,Yes,No,Laundry (In Unit),Yes,Yes,Yes,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1280,2200
Ad ID 1546861703,Apartment,2,1,Yes,Yes,No,1,Limited,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,1200,1600
Ad ID 1546871376,Duplex/Triplex,3,1,Yes,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,800,1500
Ad ID 1546910620,Apartment,1,1,No,No,No,0,Yes,No,Yes,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor East East Walkerville,741,1335
Ad ID 1546937254,House,2,1,No,No,No,3,No,No,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,850,1575
Ad ID 1546947656,House,3,1,No,No,No,1,No,Yes,No,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,1000,1200
Ad ID 1546959640,Townhouse,2,1,No,No,Yes,1,Limited,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,900,1400
Ad ID 1546972151,House,4,2,No,No,No,3,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,2500,2300
Ad ID 1546984892,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Central West Walkerville Remington P,,1200
Ad ID 1547006408,House,5+,2,Yes,Yes,Yes,2,Yes,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,1800,2650
Ad ID 1547086876,Apartment,2,1,Yes,Yes,Yes,1,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor Riverside,786,1380
Ad ID 1547147348,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor South Central West Walkerville Remington P,769,909
Ad ID 1547147349,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor South Central West Walkerville Remington P,284,549
Ad ID 1547147654,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Yes,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,835,1249
Ad ID 1547183513,Apartment,2,1,No,No,No,0,Yes,No,Yes,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor East Forest Glade,1200,1000
Ad ID 1547224649,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,721,1199
Ad ID 1547269627,Apartment,1,1,Yes,Yes,Yes,1,Limited,Yes,Yes,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Yes,Yes,Yes,Not Included,Not Included,1 Year,Windsor South Walkerville West Fontainbleu Walker,900,1400
Ad ID 1547296948,Apartment,2,1,Yes,Yes,Yes,2,Yes,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Yes,Yes,Yes,Not Included,Yard,1 Year,Windsor University South Cameron,1000,1540
Ad ID 1547298261,House,5+,2,No,No,No,3,Limited,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2000,2300
Ad ID 1547300910,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,,1225
Ad ID 1547326634,House,3,1,No,No,No,2,Yes,Yes,Outdoors only,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East East Walkerville,1200,
Ad ID 1547343736,House,2,2,Yes,Yes,Yes,2,No,Yes,Yes,Laundry (In Unit)Laundry (In Building),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1200,
Ad ID 1547352349,Apartment,2,1,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor Sandwich Ojibway West Malden,720,1295
Ad ID 1547384082,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,,1225
Ad ID 1547389040,House,4,2,Yes,Yes,Yes,1,No,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South East Malden,2000,650
Ad ID 1547392476,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,686,1270
Ad ID 1547425833,Apartment,1,1,Yes,Yes,Yes,1,Limited,Yes,Yes,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Yes,Not Included,Yes,Not Included,Balcony,1 Year,Windsor South East Malden,650,965
Ad ID 1547438831,House,4,2,No,No,No,2,No,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1200,1850
Ad ID 1547452089,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor West Forest Glade East Fontainbleu,600,950
Ad ID 1547474993,Condo,2,2,No,No,Yes,1,Yes,Yes,No,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150,2000
Ad ID 1547475429,Apartment,2,2,No,No,Yes,1,Yes,Yes,No,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150,2000
Ad ID 1547505345,Apartment,1,1,Yes,Yes,Yes,1,No,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,500,870
Ad ID 1547513215,Duplex/Triplex,3,1,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,800,1300
Ad ID 1547528825,Condo,1,1,No,No,No,1,No,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor City Centre NW Walkerville,800,1200
Ad ID 1547693306,Apartment,1,1,No,No,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1500,1000
Ad ID 1547712537,Apartment,2,1,Yes,Yes,Yes,1,Limited,Yes,No,Laundry (In Unit)Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Yard,1 Year,Windsor East East Walkerville,900,1400
Ad ID 1547774757,House,3,1,No,No,No,2,No,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1300,1500
Ad ID 1547787060,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,600,1250
Ad ID 1547826983,Condo,2,2,No,No,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,Yes,Yes,Not Included,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150,1900
Ad ID 1547832631,Apartment,1,1,Yes,Yes,Yes,1,No,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,600,1100
Ad ID 1547868550,Condo,2,2,No,No,No,1,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,1100,2000
Ad ID 1547936971,Apartment,2,1,Yes,Yes,Yes,0,No,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Yes,Not Included,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,1100,1300
Ad ID 1547963914,House,4,2,No,No,No,2,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2200,2000
Ad ID 1547977431,Apartment,2,1,No,Yes,Yes,1,No,No,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Walkerville West Fontainbleu Walker,900,1300
Ad ID 1547978367,Apartment,1 + Den,1,No,No,Yes,1,Yes,Yes,No,Laundry (In Building),Yes,Yes,No,Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,600,1280
Ad ID 1547988907,Apartment,2,1,No,No,Yes,2,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,900,1200
Ad ID 1547993928,Duplex/Triplex,2 + Den,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor University South Cameron,1400,1550
Ad ID 1547997360,House,5+,2,No,No,No,3,Limited,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,2300,2300
Ad ID 1548011070,House,3,1,Yes,Yes,Yes,1,Yes,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,1000,
Ad ID 1548011415,Condo,1,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Building),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor Riverside,650,1500
Ad ID 1548021556,Apartment,2,1,Yes,Yes,Yes,2,No,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Yes,Yes,Yes,Yes,Yard,Month-to-month,Windsor Sandwich Ojibway West Malden,800,
Ad ID 1548043287,House,1 + Den,1,No,No,No,0,Limited,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Central West Walkerville Remington P,800,
Ad ID 1548048328,House,3,1.5,No,No,No,1,Limited,Yes,No,Laundry (In Unit),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Central West Walkerville Remington P,1000,
Ad ID 1548052030,Apartment,2,1,No,No,No,0,Limited,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Central West Walkerville Remington P,900,1350
Ad ID 1548069889,Duplex/Triplex,2,1,No,No,Yes,1,Limited,Yes,No,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,900,1275
Ad ID 1548072179,House,3,1,No,No,No,1,Limited,Yes,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,1000,1900
Ad ID 1548086148,Apartment,2 + Den,1,No,No,No,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor Sandwich Ojibway West Malden,750,1200
Ad ID 1548091956,Basement,1 + Den,1,Yes,Yes,Yes,1,No,Yes,Outdoors only,Laundry (In Building),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Roseland,1000,1250
Ad ID 1548094225,Apartment,1,1,Yes,Yes,Yes,1,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor East East Walkerville,800,700
Ad ID 1548112430,Basement,2,1,Yes,Yes,Yes,1,Limited,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South Central West Walkerville Remington P,700,1100
Ad ID 1548162330,Apartment,3,1,Yes,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,800,1150
Ad ID 1548163395,Duplex/Triplex,4,2,Yes,Yes,Yes,0,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,900,1800
Ad ID 1548172308,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,No,Not Included,Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,,1299
Ad ID 1548183051,Apartment,3,1,No,No,No,3,No,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Yes,Yes,Yes,Not Included,Yard,1 Year,Windsor Roseland,1500,1850
Ad ID 1548186953,Duplex/Triplex,2 + Den,1,No,No,No,3,No,No,Outdoors only,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,1200,1400
Ad ID 1548194725,Apartment,Bachelor/Studio,1,No,No,Yes,0,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,1 Year,Windsor City Centre NW Walkerville,1,1100
Ad ID 1548245013,House,3,3,Yes,Yes,Yes,2,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,1200,2100
Ad ID 1548260500,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor University South Cameron,500,1000
Ad ID 1548262380,Apartment,2,1,Yes,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor University South Cameron,650,1200
Ad ID 1548264709,Townhouse,2 + Den,3,No,No,No,2,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,1300,2400
Ad ID 1548273433,House,2,1,No,No,No,1,Yes,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Central West Walkerville Remington P,1100,1250
Ad ID 1548275341,House,3,3,Yes,Yes,Yes,2,No,Yes,Outdoors only,Laundry (In Building),Not Included,Not Included,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1100,420
Ad ID 1548307665,House,5+,3,No,No,No,3,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Riverside,1300,2500
Ad ID 1548321487,Apartment,1,1,Yes,Yes,Yes,1,Yes,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Yes,Not Included,Yes,Not Included,Balcony,1 Year,Windsor South East Malden,650,965
